foil,alpha,ncrit,conv,aero_conv,failure_mode,newton_iterations,wall_ms,CL,CD,OASPL,rescue_conv,rescue_conv_guarded
E374.dat,8.0,9.0,1,1,,11,110.4,1.0510213690327204,0.011416507524067619,71.3705337146652,,
EPPLER 1098 AIRFOIL.dat,-4.0,5.0,0,0,transition_front_oscillation,100,539.8,,,,1,0
EPPLER 1098 AIRFOIL.dat,-2.0,5.0,1,1,,24,193.2,0.29681918223779086,0.005909066292857809,68.477786866288,,
EPPLER 1098 AIRFOIL.dat,0.0,5.0,0,0,diverged,100,493.6,,,,1,1
EPPLER 1098 AIRFOIL.dat,2.0,5.0,1,1,,24,210.9,0.7738693722663944,0.0061539569251988745,68.9665090399218,,
EPPLER 1098 AIRFOIL.dat,4.0,5.0,1,1,,21,182.5,1.0078389135751198,0.00646977271824488,69.56593329040263,,
EPPLER 1098 AIRFOIL.dat,6.0,5.0,1,1,,24,218.9,1.1992229698900905,0.009181021571320008,73.17526145124722,,
EPPLER 1098 AIRFOIL.dat,8.0,5.0,0,0,no_convergence,100,476.4,,,,1,1
EPPLER 1098 AIRFOIL.dat,-4.0,9.0,1,1,,12,115.7,0.05808401830729174,0.0061395012560442825,68.32954717749479,,
EPPLER 1098 AIRFOIL.dat,-2.0,9.0,1,1,,24,217.7,0.2975019728659414,0.0060288329738790725,68.39081186555865,,
EPPLER 1098 AIRFOIL.dat,0.0,9.0,1,1,,9,92.1,0.5367642387072231,0.006181335104147821,68.47410147598809,,
EPPLER 1098 AIRFOIL.dat,2.0,9.0,1,1,,8,91.8,0.7745747522842557,0.006288793870892304,68.71055288317136,,
EPPLER 1098 AIRFOIL.dat,4.0,9.0,1,1,,21,186.8,1.0106086462240738,0.006429048600951097,69.16534889400168,,
EPPLER 1098 AIRFOIL.dat,6.0,9.0,1,1,,9,94.5,1.2413657742361874,0.006759795890118551,70.08818133545961,,
EPPLER 1098 AIRFOIL.dat,8.0,9.0,1,1,,23,190.7,1.3849637937477193,0.01116701097112414,77.21014460144148,,
EPPLER 399 AIRFOIL.dat,-4.0,5.0,1,1,,6,80.5,0.2411466563852918,0.007035881068776826,69.22859793299467,,
EPPLER 399 AIRFOIL.dat,-2.0,5.0,1,1,,5,64.8,0.4763702071265195,0.006572774236991585,69.47550312592055,,
EPPLER 399 AIRFOIL.dat,0.0,5.0,1,1,,23,197.3,0.710530460669419,0.006483875066022326,69.79478667540386,,
EPPLER 399 AIRFOIL.dat,2.0,5.0,1,1,,6,70.5,0.9421238187363391,0.006688723941183687,70.27328850209886,,
EPPLER 399 AIRFOIL.dat,4.0,5.0,1,1,,30,248.1,1.166586506117675,0.007370699606471643,71.19395160973912,,
EPPLER 399 AIRFOIL.dat,6.0,5.0,0,0,transition_front_oscillation,100,448.5,,,,0,0
EPPLER 399 AIRFOIL.dat,8.0,5.0,0,0,transition_front_oscillation,100,441.3,,,,0,0
EPPLER 399 AIRFOIL.dat,-4.0,9.0,1,1,,23,189.8,0.2447751030682759,0.0065724962392021405,69.03456102843762,,
EPPLER 399 AIRFOIL.dat,-2.0,9.0,1,1,,24,200.2,0.4798627750072955,0.006168172708606113,69.26571805261685,,
EPPLER 399 AIRFOIL.dat,0.0,9.0,1,1,,25,203.2,0.7141481013250258,0.006132944072319919,69.56029161063445,,
EPPLER 399 AIRFOIL.dat,2.0,9.0,1,1,,12,114.1,0.9470620440926697,0.006255581513732791,69.94868672516083,,
EPPLER 399 AIRFOIL.dat,4.0,9.0,1,1,,6,66.7,1.1758684879481445,0.006632738369168532,70.62145240442753,,
EPPLER 399 AIRFOIL.dat,6.0,9.0,1,1,,32,245.6,1.3925752268115466,0.00765293228602267,71.96942831265494,,
EPPLER 399 AIRFOIL.dat,8.0,9.0,0,0,transition_front_oscillation,100,429.6,,,,1,1
EPPLER 502 AIRFOIL.dat,-4.0,5.0,1,1,,43,385.7,-0.290741148820608,0.008445947167896886,71.40007072238598,,
EPPLER 502 AIRFOIL.dat,-2.0,5.0,1,1,,12,119.9,-0.08533957111433055,0.006196108859278458,68.57437240976012,,
