foil_idx,foil,Re,alpha,nCrit,ncrithyst,converged,failure_mode,newton_iterations,CL,CD,error
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,0.0,9.0,0.0,1,,13,0.3128207528885475,0.0048285801181959,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,0.0,9.0,0.1,1,,13,0.3128207528885475,0.0048285801181959,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,0.0,9.0,0.2,1,,17,0.3126074706846496,0.0048449836354298,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,0.0,9.0,0.4,1,,15,0.3128234630882905,0.0048286080419938,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,0.0,9.0,0.8,1,,18,0.3128234649108523,0.004828608468478,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,0.0,12.0,0.0,1,,17,0.3209714950872127,0.004758556498867,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,0.0,12.0,0.1,1,,19,0.3209712249018746,0.0047585665482821,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,0.0,12.0,0.2,1,,19,0.3209712249018746,0.0047585665482821,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,0.0,12.0,0.4,1,,20,0.3209712333305703,0.0047585663157533,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,0.0,12.0,0.8,1,,22,0.3209712332532707,0.004758566319705,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,2.0,6.0,0.0,1,,6,0.5198434001213644,0.00653594188599,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,2.0,6.0,0.1,1,,10,0.5198434003880249,0.0065359418185883,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,2.0,6.0,0.2,1,,10,0.5198434003880249,0.0065359418185883,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,2.0,6.0,0.4,1,,10,0.5198434003880249,0.0065359418185883,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,2.0,6.0,0.8,1,,10,0.5198434003880249,0.0065359418185883,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,2.0,9.0,0.0,1,,20,0.5248270678937439,0.0059857222382378,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,2.0,9.0,0.1,1,,20,0.5248270678937439,0.0059857222382378,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,2.0,9.0,0.2,1,,20,0.5248270678937439,0.0059857222382378,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,2.0,9.0,0.4,1,,18,0.5248265133473864,0.0059855450906165,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,2.0,9.0,0.8,1,,18,0.5248265133473864,0.0059855450906165,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,2.0,12.0,0.0,0,transition_front_oscillation,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,2.0,12.0,0.1,1,,23,0.5290524158422129,0.0057016122023919,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,2.0,12.0,0.2,1,,27,0.5290523844877312,0.0057016130762851,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,2.0,12.0,0.4,1,,27,0.5290523844877312,0.0057016130762851,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,2.0,12.0,0.8,1,,23,0.5290522173793816,0.0057016082794769,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,4.0,6.0,0.0,1,,7,0.7324781868259522,0.0087358943646467,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,4.0,6.0,0.1,1,,29,0.7324783128508617,0.0087358699233437,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,4.0,6.0,0.2,1,,29,0.7324783128508617,0.0087358699233437,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,4.0,6.0,0.4,1,,29,0.7324783128508617,0.0087358699233437,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,4.0,6.0,0.8,1,,29,0.7324783128508617,0.0087358699233437,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,4.0,9.0,0.0,1,,27,0.7359047164669982,0.0081224595161106,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,4.0,9.0,0.1,1,,59,0.7359047242391278,0.0081224598522007,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,4.0,9.0,0.2,1,,38,0.7359047250047167,0.0081224598882393,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,4.0,9.0,0.4,1,,38,0.7359047236771905,0.0081224597223141,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,4.0,9.0,0.8,0,transition_front_oscillation,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,4.0,12.0,0.0,1,,33,0.7388007897563632,0.0076846593596644,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,4.0,12.0,0.1,1,,31,0.7388008116222861,0.0076846603479308,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,4.0,12.0,0.2,1,,33,0.7388008056946794,0.0076846606264757,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,4.0,12.0,0.4,1,,35,0.7388008079111171,0.0076846604823829,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,4.0,12.0,0.8,1,,35,0.7388008079111171,0.0076846604823829,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,6.0,6.0,0.0,1,,37,0.9418630764617406,0.0115221217257599,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,6.0,6.0,0.1,1,,40,0.9418668554994576,0.0115221863708795,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,6.0,6.0,0.2,1,,40,0.9418668554994576,0.0115221863708795,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,6.0,6.0,0.4,1,,40,0.9418668558453892,0.0115221863883812,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,6.0,6.0,0.8,1,,41,0.9418668556972882,0.0115221864108331,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,6.0,9.0,0.0,0,transition_front_oscillation,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,6.0,9.0,0.1,0,transition_front_oscillation,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,6.0,9.0,0.2,1,,47,0.9428337345093007,0.0113838354305822,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,6.0,9.0,0.4,1,,46,0.9428337339885952,0.0113838354843942,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,6.0,9.0,0.8,0,transition_front_oscillation,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,6.0,12.0,0.0,0,no_convergence,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,6.0,12.0,0.1,0,no_convergence,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,6.0,12.0,0.2,0,no_convergence,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,6.0,12.0,0.4,0,transition_front_oscillation,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,6.0,12.0,0.8,0,transition_front_oscillation,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,8.0,6.0,0.0,1,,5,1.1397344707503063,0.0160583040228412,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,8.0,6.0,0.1,1,,5,1.1397344707503063,0.0160583040228412,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,8.0,6.0,0.2,1,,5,1.1397344707503063,0.0160583040228412,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,8.0,6.0,0.4,1,,5,1.1384983186552553,0.0163118162261657,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,8.0,6.0,0.8,1,,5,1.1384983186552553,0.0163118162261657,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,8.0,9.0,0.0,1,,8,1.1377931278088556,0.0166996260698222,
